variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude,moda_valor,frequência_moda,frequência_total
ESS(SourceEUI(kBtu/sf)=Média),72.5827,18.763,-0.9997,0.8243,2.0,94.0,99.0,100.0,98.0,73.203,415,3035
ESS(SourceEUI(kBtu/sf)=Grande),57.5756,24.9238,-0.5589,-0.8121,1.0,85.0,98.0,99.0,98.0,73.203,223,976
ESS(SourceEUI(kBtu/sf)=Muito_Grande),56.9471,25.5331,-0.9237,-0.4569,1.0,74.0,96.15,100.0,99.0,73.203,564,1286
ESS(LargestProperty)=Muito_Pequena),72.3762,21.3152,-1.3519,1.7897,1.0,96.0,100.0,100.0,99.0,73.203,975,3727
ESS(LargestProperty)=Pequena),72.0866,22.6052,-1.1219,0.8199,1.0,97.0,100.0,100.0,99.0,73.203,353,2255
ESS(LargestProperty)=Média),72.6244,22.6582,-1.0199,0.4652,1.0,98.0,100.0,100.0,99.0,73.203,142,951
ESS(LargestProperty)=Grande),75.6732,23.7683,-1.3149,1.0604,3.0,98.0,100.0,100.0,97.0,73.203,65,537
ESS(LargestProperty)=Muito_Grande),76.3701,21.4888,-1.3533,1.6513,1.0,99.0,100.0,100.0,99.0,73.203,213,1277
ESS(Elec(kWh)=Muito_baixa),75.6953,19.7127,-1.4308,2.4024,1.0,97.0,100.0,100.0,99.0,73.203,851,3950
ESS(Elec(kWh)=Baixa),72.2804,22.6942,-1.0795,0.7491,1.0,98.0,100.0,100.0,99.0,73.203,287,2020
ESS(Elec(kWh)=Média),72.0075,22.5019,-0.9972,0.4795,1.0,98.0,100.0,100.0,99.0,73.203,175,886
ESS(Elec(kWh)=Grande),73.6079,24.5775,-1.1629,0.5543,1.0,98.0,100.0,100.0,99.0,73.203,78,488
ESS(Elec(kWh)=Muito_Grande),67.5739,24.7302,-1.0531,0.3356,1.0,94.8,100.0,100.0,99.0,73.203,357,1403
ESS(SteamUse(kBtu)=Muito_baixa),73.0992,22.0594,-1.2338,1.2452,1.0,97.0,100.0,100.0,99.0,73.203,1739,8721
ESS(SteamUse(kBtu)=Baixa),76.9162,6.2306,1.5351,1.2829,73.203,85.4,91.22,92.0,18.797,73.203,9,14
ESS(SteamUse(kBtu)=Média),81.0,2.8284,,,79.0,82.6,82.96,83.0,4.0,,1,2
ESS(SteamUse(kBtu)=Grande),83.75,10.0107,0.3194,-0.5723,70.0,95.8,99.58,100.0,30.0,,1,8
ESS(SteamUse(kBtu)=Muito_Grande),60.5,2.1213,,,59.0,61.7,61.97,62.0,3.0,,1,2
ESS(NaturalGas(therms)=Muito_baixa),75.8208,19.6232,-1.3608,2.0457,1.0,97.0,100.0,100.0,99.0,73.203,1129,5856
ESS(NaturalGas(therms)=Baixa),69.2773,24.6032,-0.9349,0.2459,1.0,98.0,100.0,100.0,99.0,73.203,211,1203
ESS(NaturalGas(therms)=Média),68.0825,26.0559,-0.8422,-0.171,1.0,98.0,100.0,100.0,99.0,73.203,106,569
ESS(NaturalGas(therms)=Grande),66.3644,28.0415,-0.7286,-0.5141,1.0,99.0,100.0,100.0,99.0,73.203,56,293
ESS(NaturalGas(therms)=Muito_Grande),65.372,24.8825,-1.0034,0.2294,1.0,93.0,100.0,100.0,99.0,73.203,246,826
ESS(Electricity(kBtu))=Muito_baixa),75.4498,19.9644,-1.4039,2.2576,1.0,97.0,100.0,100.0,99.0,73.203,882,4152
ESS(Electricity(kBtu))=Baixa),72.4356,22.56,-1.0915,0.7674,1.0,97.0,100.0,100.0,99.0,73.203,296,1977
ESS(Electricity(kBtu))=Média),72.1236,22.838,-0.9974,0.4581,1.0,98.0,100.0,100.0,99.0,73.203,162,854
ESS(Electricity(kBtu))=Grande),72.8111,25.2756,-1.0869,0.1907,6.0,98.0,100.0,100.0,94.0,73.203,62,453
