variável,média,desvio_padrao,assimetria,curtose,valor_min,90%,99%,valor_max,amplitude
SiteEnergyUse(kBtu)_not_outliers,3076066.773036344,2832430.496390375,1.1599237870893089,-0.026025360319750668,7332.0,9141320.220000016,9141320.220000016,9141320.220000016,9133988.220000016
SiteEnergyUseWN(kBtu),5085458.968230378,14544875.038971473,11.569885956646706,180.97162061491838,7332.0,9780607.80000001,53772612.55999888,326357952.0,326350620.0
SiteEnergyUseWN(kBtu)_not_outliers,3030316.358292494,2792763.8671566104,1.1575243121671766,-0.03607860821025666,7332.0,8998438.580000002,8998438.580000002,8998438.580000002,8991106.580000002
SourceEUIWN(kBtu/sf),114.41019524133989,113.50321281584516,7.842821175135893,121.06225047361595,3.3,188.28000000000011,593.1559999999986,2678.9,2675.6
SourceEUIWN(kBtu/sf)_not_outliers,97.35215248039329,42.7296441654448,0.8826172845488416,-0.02091940873660114,3.3,188.23200000000008,188.28000000000011,188.28000000000011,184.9800000000001
SourceEUI(kBtu/sf),114.63490974859953,113.55257593361874,7.82891098679498,120.78802264401726,3.3,188.44000000000005,592.3839999999957,2678.9,2675.6
SourceEUI(kBtu/sf)_not_outliers,97.55854070435578,42.79487153567501,0.8755575012335212,-0.0335077904521528,3.3,188.41600000000005,188.44000000000005,188.44000000000005,185.14000000000004
LargestPropertyUseTypeGFA,79637.99428375444,125296.91142420277,6.592192003634282,61.544782520221055,5656.0,168423.6000000003,611686.0399999993,1719643.0,1713987.0
LargestPropertyUseTypeGFA_not_outliers,61058.3590945467,45439.20424412437,1.0987402937039255,-0.14244559266081325,5656.0,156766.0,156766.0,156766.0,151110.0
Electricity(kWh),972950.3897463257,2466679.1720770444,9.391355169969119,123.98729449393875,2149.0,1825689.2000000004,11201360.999999916,47781928.0,47779779.0
Electricity(kWh)_not_outliers,572690.3729786722,492454.5826957499,1.0444177300485566,-0.3151198677098783,2149.0,1571232.56,1571232.56,1571232.56,1569083.56
SteamUse(kBtu),389463.43946495943,5281110.3047599355,21.114694733065154,506.7099462864384,0.0,0.0,5692970.959999996,168030736.0,168030736.0
NaturalGas(therms),14380.702355093175,48723.959922739145,15.710052465343539,347.2858188077006,0.0,32985.40000000002,145923.45999999795,1426897.0,1426897.0
NaturalGas(therms)_not_outliers,9550.578342288787,12904.73921904471,1.574676461222067,1.3457850639967854,0.0,32985.40000000002,43301.02000000004,43301.02000000004,43301.02000000004
Electricity(kBtu),3319212.2385680103,8416292.646528892,9.391485346714733,123.99034625446394,1451.0,6229251.800000002,38219043.719999716,163031938.0,163030487.0
Electricity(kBtu)_not_outliers,1993420.5567159469,1763000.2269571854,1.1168736008199651,-0.12792334543539718,1451.0,5708139.680000001,5708139.680000001,5708139.680000001,5706688.680000001
NaturalGas(kBtu),1439962.3079913114,4872549.504464557,15.70757583173604,347.2173660889162,0.0,3302321.400000002,14592365.259999797,142689662.0,142689662.0
NaturalGas(kBtu)_not_outliers,956808.4333554362,1291177.3139169058,1.57359949521301,1.3414292558422374,0.0,3302321.400000002,4331672.12,4331672.12,4331672.12
TotalGHGEmissions,120.0891785144964,518.7932716964921,15.55328440446645,308.015280206737,0.4,228.54000000000005,1573.66999999999,14619.9,14619.5
TotalGHGEmissions_not_outliers,60.250009501120395,70.03562343451736,1.1834692940966682,0.016655324112937908,0.4,211.49400000000006,211.49400000000006,211.49400000000006,211.09400000000005
GHGEmissionsIntensity,1.1665305977162455,2.1123503459109085,7.286323037332928,100.81401245420999,0.02,2.9,9.3,47.4,47.379999999999995
GHGEmissionsIntensity_not_outliers,1.1134041924344344,1.6390602457811045,2.8464731353113386,9.18749800411159,0.02,2.9,9.3,9.3,9.280000000000001
